,changepoint_prior_scale,holidays_prior_scale,seasonality_prior_scale,fourier_order,prior_scale,rmse,mae
408,0.5,20,0.1,5,0.1,295134.3502218878,191198.72960162174
409,0.5,20,0.1,5,1.0,379038.88762899593,263419.7546152015
410,0.5,20,0.1,5,5.0,473130.10891411087,341101.6688326283
411,0.5,20,0.1,7,0.1,308566.0860674858,197724.85223690543
412,0.5,20,0.1,7,1.0,432121.9196455857,281602.04465859506
413,0.5,20,0.1,7,5.0,560237.5289999422,395745.5698789541
414,0.5,20,1.0,3,0.1,536805.3333411322,369195.8113553548
415,0.5,20,1.0,3,1.0,747836.3378003694,497175.99204065907
416,0.5,20,1.0,3,5.0,953476.0472339342,698902.5661887024
417,0.5,20,1.0,5,0.1,554034.9570614961,357189.0335076615
418,0.5,20,1.0,5,1.0,1123733.533756443,801961.5792382734
419,0.5,20,1.0,5,5.0,885678.4720579919,643269.5681849244
420,0.5,20,1.0,7,0.1,527182.0918130933,352517.2013109696
421,0.5,20,1.0,7,1.0,1041421.5205609549,734153.871474979
422,0.5,20,1.0,7,5.0,943530.7964165646,690569.5255333356
423,0.5,20,10.0,3,0.1,660235.2105570533,429182.01779764675
424,0.5,20,10.0,3,1.0,1112410.2204724282,783954.1248362005
425,0.5,20,10.0,3,5.0,940989.7632169238,647720.4695979103
426,0.5,20,10.0,5,0.1,742323.0015770453,451844.74566009594
427,0.5,20,10.0,5,1.0,1163172.337530969,811095.7738779031
428,0.5,20,10.0,5,5.0,2328445.6471776906,1388000.3201465819
429,0.5,20,10.0,7,0.1,1732787.5422307272,894808.053884755
430,0.5,20,10.0,7,1.0,1880490.9074288649,1183523.4636389157
431,0.5,20,10.0,7,5.0,1097992.5712209179,698080.9662232238
