,changepoint_prior_scale,holidays_prior_scale,seasonality_prior_scale,fourier_order,prior_scale,rmse,mae
123,0.01,5,0.1,7,0.1,294353.7875016552,182434.6400019191
124,0.01,5,0.1,7,1.0,339020.7557147882,227095.19719183972
125,0.01,5,0.1,7,5.0,328898.70152993867,217352.56154105839
126,0.01,5,1.0,3,0.1,395753.49771775166,243953.70523109095
127,0.01,5,1.0,3,1.0,425609.1207268832,275435.9322032747
128,0.01,5,1.0,3,5.0,438233.3338863875,301332.8758310134
129,0.01,5,1.0,5,0.1,450428.61273040826,271943.74651783134
130,0.01,5,1.0,5,1.0,452915.4441038078,292932.3281528169
131,0.01,5,1.0,5,5.0,462626.6596739773,313776.4046940883
132,0.01,5,1.0,7,0.1,434150.920334389,276253.4021079566
133,0.01,5,1.0,7,1.0,450801.41822880215,301004.86658151256
134,0.01,5,1.0,7,5.0,414129.1768033321,285336.9267468
135,0.01,5,10.0,3,0.1,518201.663393885,319855.57191531366
136,0.01,5,10.0,3,1.0,490795.541734581,315077.49352072127
137,0.01,5,10.0,3,5.0,491828.52855028724,333172.3251536491
138,0.01,5,10.0,5,0.1,697660.3050126457,412835.1923135896
139,0.01,5,10.0,5,1.0,474642.5213145389,308762.4286097697
140,0.01,5,10.0,5,5.0,494934.761176234,349785.3234706601
141,0.01,5,10.0,7,0.1,1425070.6279963946,744390.4305235418
142,0.01,5,10.0,7,1.0,532946.794615112,342381.0815680679
143,0.01,5,10.0,7,5.0,414266.0123236532,283978.63001959125
144,0.01,10,0.01,3,0.1,497217.7728974828,391536.1746251834
145,0.01,10,0.01,3,1.0,562764.4955677263,353860.8115204287
146,0.01,10,0.01,3,5.0,564988.3019644395,352683.785426786
147,0.01,10,0.01,5,0.1,497237.4404372098,390159.01232487994
148,0.01,10,0.01,5,1.0,561045.0677020568,352724.61777284654
149,0.01,10,0.01,5,5.0,562162.6031936776,352931.353690221
150,0.01,10,0.01,7,0.1,500023.0735371844,390910.72622813476
151,0.01,10,0.01,7,1.0,562813.1766558501,354155.31344712165
152,0.01,10,0.01,7,5.0,564078.9566059557,354098.6773064589
153,0.01,10,0.1,3,0.1,267641.61672354105,164502.3056835055
154,0.01,10,0.1,3,1.0,304089.4015236147,200362.16927618362
155,0.01,10,0.1,3,5.0,306932.14042336325,208903.7961810215
156,0.01,10,0.1,5,0.1,284169.7624167932,179740.112790975
157,0.01,10,0.1,5,1.0,331247.6305286511,223787.5733478072
158,0.01,10,0.1,5,5.0,331126.4434545369,226426.71265640677
159,0.01,10,0.1,7,0.1,294353.7875016552,182434.6400019191
160,0.01,10,0.1,7,1.0,339020.7557147882,227095.19719183972
161,0.01,10,0.1,7,5.0,328898.70152993867,217352.56154105839
162,0.01,10,1.0,3,0.1,395753.49771775166,243953.70523109095
163,0.01,10,1.0,3,1.0,425609.1207268832,275435.9322032747
164,0.01,10,1.0,3,5.0,438233.3338863875,301332.8758310134
